Customer Name,Visit Date,Bank Name,Rating,Comment,bank_image
YADAV,"Mar 12, 2020",Citibank,🙂,"""Overall its good""",https://static.bankbazaar.com/images/common/bank-logo/citibank.png
YAD,"Mar 12, 2020",Axis Bank,😀,"""Good commerical bank """,https://static.bankbazaar.com/images/common/bank-logo/axis.png
RA,"Mar 12, 2020",SBI,😞,"""Medium""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
AR,"Mar 12, 2020",Axis Bank,😞,"""Medium""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
LOGANAT,"Mar 12, 2020",Axis Bank,😀,"""Very Good Loan Service""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
NAR,"Mar 12, 2020",HDFC Bank,😀,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
KA,"Mar 12, 2020",SBI,😀,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ANONYMOUS,"Mar 12, 2020",Kotak,🙂,"""Better Account""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
M A,"Mar 12, 2020",IndusInd Bank,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/indusind.png
M A,"Mar 12, 2020",SBI,😀,"""Good App""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
M H V,"Mar 12, 2020",Axis Bank,😐,"""Good customer care service""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
V   ANDEY,"Mar 11, 2020",SBI,🙂,"""Good service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ANONYMOUS,"Mar 11, 2020",Canara Bank,🙂,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/canara-bank.png
P B,"Mar 11, 2020",SBI,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
KENDRA,"Mar 11, 2020",Kotak,😀,"""Recommendable bank""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
AJI,"Mar 11, 2020",SBI,😀,"""Good account """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
V T,"Mar 11, 2020",HDFC Bank,😀,"""Overall very good account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
GA,"Mar 10, 2020",Canara Bank,😀,"""Good service """,https://static.bankbazaar.com/images/common/bank-logo/canara-bank.png
SAM,"Mar 10, 2020",HDFC Bank,😀,"""Need to improve customer service """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
SH,"Mar 10, 2020",HDFC Bank,😐,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
MOHA,"Mar 10, 2020",Kotak,🙂,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/kotak.png
K K C,"Mar 10, 2020",Axis Bank,😀,"""Services are good""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
V K,"Mar 10, 2020",HDFC Bank,🙂,"""Flexible to use""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ANONYMOUS,"Mar 10, 2020",HDFC Bank,🙂,"""Good internet banking""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ANONYMOUS,"Mar 10, 2020",SBI,🙂,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
VI,"Mar 10, 2020",HDFC Bank,😀,"""Best for all """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
VISH,"Mar 10, 2020",SBI,😀,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
S S,"Mar 10, 2020",IDBI,😞,"""Need to improve the service""",https://static.bankbazaar.com/images/common/bank-logo/idbi.png
SUMAN,"Mar 10, 2020",SBI,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
NATHAN,"Mar 09, 2020",HDFC Bank,😀,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ARUMAI,"Mar 09, 2020",Axis Bank,🙂,"""Need to improve service """,https://static.bankbazaar.com/images/common/bank-logo/axis.png
MURI,"Mar 09, 2020",Axis Bank,😀,"""Good account """,https://static.bankbazaar.com/images/common/bank-logo/axis.png
ANONYMOUS,"Mar 08, 2020",SBI,😀,"""Good saving account """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
KESAVAN,"Mar 08, 2020",Axis Bank,😀,"""Best Account""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
PADAGA,"Mar 08, 2020",HDFC Bank,😀,"""Need to decrease charge """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
KAPIL  KUMAR,"Mar 07, 2020",HDFC Bank,😀,"""Good account """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
S,"Mar 07, 2020",Punjab National Bank,😀,"""Good""",https://static.bankbazaar.com/images/common/bank-logo/punjab-national-bank.png
R  RAVEENDRAN,"Mar 06, 2020",SBI,🙂,"""Good Service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
DAS,"Mar 06, 2020",HDFC Bank,🙂,"""Good Account """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
BALAJI,"Mar 06, 2020",HDFC Bank,😀,"""The best bank""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
RANI,"Mar 05, 2020",Kotak,🙂,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
ANUGU,"Mar 05, 2020",HDFC Bank,🙂,"""Average Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ANONYMOUS,"Mar 05, 2020",HDFC Bank,😀,"""Very Good Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
NUTULAPATI,"Mar 05, 2020",Axis Bank,😐,"""Good Services""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
Y   SURYA,"Mar 05, 2020",HDFC Bank,😀,"""Best  Service""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
JANGAM,"Mar 05, 2020",SBI,🙂,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
S G,"Mar 05, 2020",SBI,🙂,"""Good Bank""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
G GODDETI,"Mar 04, 2020",Citibank,🙂,"""Good Service""",https://static.bankbazaar.com/images/common/bank-logo/citibank.png
E,"Mar 04, 2020",SBI,😀,"""Excellent service """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
PRAD,"Mar 04, 2020",SBI,😀,"""Good saving account """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
P K,"Mar 03, 2020",SBI,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
P,"Mar 03, 2020",Citibank,😀,"""Best bank """,https://static.bankbazaar.com/images/common/bank-logo/citibank.png
P  BOYA,"Mar 03, 2020",Axis Bank,🙂,"""Good Service""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
ANONYMOUS,"Mar 03, 2020",Axis Bank,🙂,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
S D,"Mar 03, 2020",SBI,😀,"""Fine Account """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
K  VERMA,"Mar 03, 2020",Punjab National Bank,😀,"""Good Service""",https://static.bankbazaar.com/images/common/bank-logo/punjab-national-bank.png
S,"Mar 03, 2020",Kotak,😀,"""Excellent """,https://static.bankbazaar.com/images/common/bank-logo/kotak.png
S  MU,"Mar 03, 2020",SBI,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
A MANU,"Mar 03, 2020",Axis Bank,🙂,"""Best  Service""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
AKHTER,"Mar 03, 2020",Axis Bank,😀,"""Satisfactory account""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
ANONYMOUS,"Mar 03, 2020",SBI,😀,"""Good and safe bank""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
V,"Mar 03, 2020",Kotak,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
Riyaz Ahmad,"Mar 02, 2020",SBI,😡,"""I want to sbi sieving account  i like state bank of india  .""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
EN,"Mar 02, 2020",HDFC Bank,🙂,"""Good bank for getting more loan offers """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ANONYMOUS,"Mar 02, 2020",Punjab National Bank,😀,"""Good but not easy""",https://static.bankbazaar.com/images/common/bank-logo/punjab-national-bank.png
ANONYMOUS,"Mar 02, 2020",Axis Bank,😐,"""Good Banking""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
ANONYMOUS,"Mar 02, 2020",Axis Bank,😀,"""Good Bank""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
ANONYMOUS,"Mar 02, 2020",HDFC Bank,🙂,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
S JENI,"Mar 02, 2020",SBI,😀,"""Best  Sevice""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
A,"Mar 02, 2020",Axis Bank,😐,"""Best savings account """,https://static.bankbazaar.com/images/common/bank-logo/axis.png
ANONYMOUS,"Mar 02, 2020",SBI,😀,"""SBI is good""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
A R,"Mar 02, 2020",Axis Bank,😀,"""Okay Account""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
DAL,"Mar 02, 2020",Axis Bank,😀,"""Eco friendly bank""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
HM,"Mar 02, 2020",Axis Bank,😀,"""Good service""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
ANONYMOUS,"Mar 01, 2020",Kotak,🙂,"""Safe and reliable""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
J S T,"Mar 01, 2020",HDFC Bank,😀,"""Stable and reliable bank""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
MANTUNATHA,"Mar 01, 2020",SBI,🙂,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
MANTUNATHA,"Mar 01, 2020",Axis Bank,🙂,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
ANONYMOUS,"Mar 01, 2020",SBI,😀,"""Very Good Account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
MAYUR SHIVAJI KADAM,"Mar 01, 2020",Axis Bank,😀,"""Good bank""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
A  C,"Mar 01, 2020",SBI,🙂,"""Best account """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
KASALA,"Mar 01, 2020",SBI,😀,"""Secure and easily branches available in India""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
BHANU,"Mar 01, 2020",HDFC Bank,😀,"""Fine Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ANONYMOUS,"Mar 01, 2020",SBI,🙂,"""Good security but improvement need in customer care""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ARIF AHMED,"Mar 01, 2020",SBI,😀,"""Good Bank""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
harsh,"Mar 01, 2020",HDFC Bank,😠,"""worst service """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
WA,"Feb 29, 2020",Kotak,😀,"""Good saving account """,https://static.bankbazaar.com/images/common/bank-logo/kotak.png
SHI,"Feb 29, 2020",HDFC Bank,😀,"""Good app""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
YARRI  SWAMY,"Feb 29, 2020",SBI,😀,"""Good""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
YARRI,"Feb 29, 2020",HDFC Bank,😀,"""Best bank """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
BISWAJYOTI  CHAKRABORTY,"Feb 29, 2020",SBI,🙂,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
B,"Feb 29, 2020",Axis Bank,😀,"""Good account""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
AR,"Feb 29, 2020",Axis Bank,🙂,"""Good bank account """,https://static.bankbazaar.com/images/common/bank-logo/axis.png
A,"Feb 28, 2020",HDFC Bank,🙂,"""Good service""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
AAMIR  ALI,"Feb 28, 2020",IndusInd Bank,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/indusind.png
JA,"Feb 28, 2020",Axis Bank,🙂,"""Good bank""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
JANI B,"Feb 28, 2020",SBI,🙂,"""Good service """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ANONYMOUS,"Feb 28, 2020",Canara Bank,😀,"""Good Bank""",https://static.bankbazaar.com/images/common/bank-logo/canara-bank.png
J,"Feb 28, 2020",HDFC Bank,🙂,"""Best application""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ANONYMOUS,"Feb 28, 2020",SBI,😀,"""Easy to access the mobile banking""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ANONYMOUS,"Feb 27, 2020",Axis Bank,😀,"""Axis bank is best for service""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
ANONYMOUS,"Feb 27, 2020",Punjab National Bank,😀,"""PNB is best nationalized bank for customer""",https://static.bankbazaar.com/images/common/bank-logo/punjab-national-bank.png
MOHIT,"Feb 27, 2020",HDFC Bank,🙂,"""Good""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
M KHARE,"Feb 27, 2020",SBI,🙂,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
S,"Feb 27, 2020",IndusInd Bank,😀,"""Excellent service""",https://static.bankbazaar.com/images/common/bank-logo/indusind.png
THIRUNAVU,"Feb 27, 2020",HDFC Bank,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
MAR,"Feb 26, 2020",SBI,🙂,"""Medium""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
C MONDAL,"Feb 26, 2020",Axis Bank,😀,"""Not Satisfactory""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
D,"Feb 25, 2020",Axis Bank,😀,"""Excellent Service""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
G  BHIMA,"Feb 25, 2020",HDFC Bank,😀,"""Excellent Service""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ANGELINE,"Feb 25, 2020",SBI,😀,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ANONYMOUS,"Feb 25, 2020",Kotak,🙂,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
ANONYMOUS,"Feb 25, 2020",HDFC Bank,🙂,"""Very Good Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
Vicky,"Feb 25, 2020",Axis Bank,😠,"""Worst Customer support at Cox town branch """,https://static.bankbazaar.com/images/common/bank-logo/axis.png
RAJAPANDIYAN,"Feb 25, 2020",Kotak,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
PALLY,"Feb 24, 2020",SBI,😐,"""Good service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ANONYMOUS,"Feb 24, 2020",Kotak,😀,"""Excellent Account""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
VAM,"Feb 24, 2020",IndusInd Bank,🙂,"""Need to provide more atm and branch""",https://static.bankbazaar.com/images/common/bank-logo/indusind.png
RU,"Feb 24, 2020",HDFC Bank,😀,"""Need to provide more offer message """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
B S,"Feb 24, 2020",Canara Bank,😀,"""Good""",https://static.bankbazaar.com/images/common/bank-logo/canara-bank.png
POLAVARAPU,"Feb 24, 2020",SBI,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
SANTHOSH,"Feb 24, 2020",Kotak,😀,"""Average Account""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
N S,"Feb 23, 2020",SBI,🙂,"""Better Account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
N S,"Feb 23, 2020",Canara Bank,😀,"""Perfect banking""",https://static.bankbazaar.com/images/common/bank-logo/canara-bank.png
VIJ,"Feb 22, 2020",SBI,😀,"""Good account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
PATHAN,"Feb 22, 2020",Citibank,😀,"""Excellent Service""",https://static.bankbazaar.com/images/common/bank-logo/citibank.png
K  HIDAYATH,"Feb 22, 2020",Axis Bank,😀,"""Very Good Service""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
F,"Feb 21, 2020",Canara Bank,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/canara-bank.png
CHARLES,"Feb 21, 2020",SBI,😀,"""Good to have the account in SBI""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
RAMESH KUMAR A,"Feb 21, 2020",SBI,🙂,"""Need to improve in customer service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
BISWA,"Feb 21, 2020",HDFC Bank,🙂,"""Very good""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ANONYMOUS,"Feb 21, 2020",Kotak,🙂,"""Good bank but unhappy service""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
Ganapati prasad,"Feb 21, 2020",Kotak,😡,"""Uncultured, Pathetic bank""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
G A,"Feb 20, 2020",Axis Bank,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
MUTHU S,"Feb 20, 2020",SBI,🙂,"""Best """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
ROHITH  R,"Feb 20, 2020",SBI,🙂,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
NT,"Feb 20, 2020",IDBI,😀,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/idbi.png
UPAD,"Feb 20, 2020",SBI,😀,"""Good account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
R R,"Feb 20, 2020",SBI,🙂,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
SHAILESH,"Feb 20, 2020",Axis Bank,😀,"""The best saving & service""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
A C,"Feb 19, 2020",Axis Bank,😀,"""Best Account""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
CHOUDHARY,"Feb 19, 2020",HDFC Bank,🙂,"""Best Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
A,"Feb 19, 2020",HDFC Bank,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
S O W A,"Feb 19, 2020",Axis Bank,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
Devansh Agarwal,"Feb 19, 2020",Axis Bank,😠,"""Debit freeze""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
UPADHAYAY,"Feb 18, 2020",SBI,😀,"""SBI service is good""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
UPADHAYAY,"Feb 18, 2020",Kotak,🙂,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
S,"Feb 18, 2020",Axis Bank,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
KRISHNA,"Feb 18, 2020",Axis Bank,🙂,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
A P,"Feb 18, 2020",SBI,😀,"""Better services""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
SUBR,"Feb 17, 2020",HDFC Bank,🙂,"""Need to decrease charge""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
M Gowda,"Feb 17, 2020",HDFC Bank,🙂,"""Excellent Service""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
M  BASAVE,"Feb 17, 2020",SBI,🙂,"""Excellent Service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
PAN,"Feb 17, 2020",SBI,🙂,"""Good """,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
AI,"Feb 17, 2020",Axis Bank,😐,"""Need to decrease charges""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
G   SALVE,"Feb 17, 2020",SBI,🙂,"""Best  Service""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
A,"Feb 17, 2020",Canara Bank,😐,"""Customer service must improve""",https://static.bankbazaar.com/images/common/bank-logo/canara-bank.png
JYO,"Feb 17, 2020",HDFC Bank,😞,"""Need to provide more atm and branch's """,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
MURALI,"Feb 17, 2020",HDFC Bank,😀,"""Good""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
R,"Feb 17, 2020",Kotak,🙂,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/kotak.png
S,"Feb 17, 2020",Axis Bank,😀,"""Best savings account""",https://static.bankbazaar.com/images/common/bank-logo/axis.png
NAVAN,"Feb 16, 2020",HDFC Bank,😀,"""Good Account""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ANONYMOUS,"Feb 16, 2020",Canara Bank,🙂,"""Bank service is good""",https://static.bankbazaar.com/images/common/bank-logo/canara-bank.png
SULTANA,"Feb 16, 2020",HDFC Bank,😀,"""Good provider""",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png
ANONYMOUS,"Feb 16, 2020",SBI,🙂,"""Highly recommend account for middle class people""",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png
